pos_idx,ra,dec,src_index,num_matches,obs_jd,obs_date,mag,exp_duration_s,n_plates_total,n_study_plates,kp_max_02d,kp_bin,kp_label,nuclear_window
12,172.8,-60.0,2210,1,2433743.237318,1951-04-06,12.102012634277344,,3404,302,6.333,2,G2 (6),True
12,172.8,-60.0,2307,1,2434902.239829,1954-06-08,12.233444213867188,,3445,300,3.0,0,Quiet (<5),False
12,172.8,-60.0,2584,1,2433769.392465,1951-05-02,14.35643482208252,,3445,300,7.333,3,G3 (7),False
12,172.8,-60.0,2664,1,2434902.249178,1954-06-08,12.985209465026855,,3445,300,3.0,0,Quiet (<5),False
12,172.8,-60.0,2716,1,2433740.245448,1951-04-03,13.24893569946289,,3445,300,6.0,2,G2 (6),False
12,172.8,-60.0,2828,1,2433038.210018,1949-05-01,14.00671100616455,,3446,301,5.333,1,G1 (5),False
12,172.8,-60.0,2896,1,2433424.354121,1950-05-22,13.811901092529297,,3404,302,5.0,1,G1 (5),False
12,172.8,-60.0,2987,1,2434902.482887,1954-06-08,12.009319305419922,,3404,302,3.0,0,Quiet (<5),False
12,172.8,-60.0,3153,1,2433802.358324,1951-06-04,15.373952865600586,,3445,300,4.333,0,Quiet (<5),False
12,172.8,-60.0,3183,1,2433764.295356,1951-04-27,13.321209907531738,,3445,300,5.667,1,G1 (5),False
12,172.8,-60.0,3224,1,2433409.349007,1950-05-07,12.76932144165039,,3445,300,5.333,1,G1 (5),False
12,172.8,-60.0,3256,1,2433484.22975,1950-07-21,11.012022018432617,,3445,300,3.0,0,Quiet (<5),False
12,172.8,-60.0,3528,1,2434896.273065,1954-06-02,12.102082252502441,,3445,300,3.0,0,Quiet (<5),False
12,172.8,-60.0,3781,1,2434415.599794,1953-02-07,13.552741050720215,,3445,300,2.0,0,Quiet (<5),False
12,172.8,-60.0,4072,1,2433420.274759,1950-05-18,15.214702606201172,,3404,302,3.333,0,Quiet (<5),False
12,172.8,-60.0,4159,1,2433440.298104,1950-06-07,15.771849632263184,,3445,300,6.0,2,G2 (6),False
12,172.8,-60.0,4256,1,2433397.226778,1950-04-25,14.328018188476562,,3404,302,5.667,1,G1 (5),False
12,172.8,-60.0,4266,1,2434456.305772,1953-03-19,11.270002365112305,,3446,301,4.0,0,Quiet (<5),False
12,172.8,-60.0,4284,1,2433424.284158,1950-05-22,14.053818702697754,,3404,302,5.0,1,G1 (5),False
12,172.8,-60.0,4477,1,2434546.242231,1953-06-17,13.51689624786377,,3404,302,3.333,0,Quiet (<5),False
12,172.8,-60.0,4501,1,2434902.249154,1954-06-08,13.06838321685791,,3404,302,3.0,0,Quiet (<5),False
12,172.8,-60.0,4608,1,2434896.244306,1954-06-02,15.064665794372559,,3404,302,3.0,0,Quiet (<5),False
12,172.8,-60.0,4752,1,2434898.238102,1954-06-04,13.101897239685059,,3472,310,3.333,0,Quiet (<5),False
